percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.3,False,16,True,2,False,visap-half,10,0.01,32,10000,98.15,0.86,88.89,7.72
0.5,False,16,True,2,False,visap-half,10,0.01,32,10000,97.22,1.93,86.11,1.93
0.7,False,16,True,2,False,visap-half,10,0.01,32,10000,96.30,3.43,85.56,1.23
0.85,False,16,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,85.19,3.43
0.3,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,5.79
0.7,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,8.64
0.85,False,16,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,16,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,87.78,4.94
0.85,False,16,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,16,True,2,False,visap-half,10,0.01,64,10000,97.22,0.00,83.33,0.00
0.5,False,16,True,2,False,visap-half,10,0.01,64,10000,90.28,1.93,83.33,0.00
0.7,False,16,True,2,False,visap-half,10,0.01,64,10000,90.74,24.01,83.33,0.00
0.85,False,16,True,2,False,visap-half,10,0.01,64,10000,77.78,30.86,65.74,24.01
0.3,False,16,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,88.89,7.72
0.5,False,16,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,86.11,1.93
0.7,False,16,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.44,1.23
0.85,False,16,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,16,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,16,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,93.06,7.72
0.7,False,16,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,87.78,8.64
0.85,False,16,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,87.96,6.00
0.3,False,16,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,91.67,0.00
0.5,False,16,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.50,0.00
0.7,False,16,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.78,4.94
0.85,False,16,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,86.11,2.57
0.3,False,16,True,2,False,visap-half,10,0.01,128,10000,85.19,3.43,83.33,0.00
0.5,False,16,True,2,False,visap-half,10,0.01,128,10000,61.11,30.86,59.72,25.08
0.7,False,16,True,2,False,visap-half,10,0.01,128,10000,33.33,0.00,23.33,3.70
0.85,False,16,True,2,False,visap-half,10,0.01,128,10000,0.00,0.00,0.00,0.00
0.3,False,16,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,94.44,7.72
0.5,False,16,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,91.67,0.00
0.7,False,16,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.56,1.23
0.85,False,16,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,84.26,0.86
0.3,False,16,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,88.89,7.72
0.5,False,16,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,16,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,83.33,0.00
0.85,False,16,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,87.04,3.43
0.3,False,16,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,23.15
0.5,False,16,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,16,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.78,4.94
0.85,False,16,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.96,0.86
0.3,False,16,True,2,False,visap-half,10,0.01,256,10000,32.41,0.86,30.56,7.72
0.5,False,16,True,2,False,visap-half,10,0.01,256,10000,4.17,17.36,4.17,17.36
0.7,False,16,True,2,False,visap-half,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.85,False,16,True,2,False,visap-half,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.3,False,16,True,2,False,visap-half,50,0.01,256,10000,99.07,0.86,88.89,30.86
0.5,False,16,True,2,False,visap-half,50,0.01,256,10000,95.83,5.79,86.11,1.93
0.7,False,16,True,2,False,visap-half,50,0.01,256,10000,96.30,3.43,84.44,1.23
0.85,False,16,True,2,False,visap-half,50,0.01,256,10000,94.44,7.72,81.48,3.43
0.3,False,16,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,91.67,23.15
0.5,False,16,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,88.89,7.72
0.7,False,16,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,86.67,0.00
0.85,False,16,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,85.19,0.86
0.3,False,16,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,94.44,7.72
0.5,False,16,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,90.28,1.93
0.7,False,16,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,86.67,0.00
0.85,False,16,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,84.26,0.86
0.3,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.50,5.79
0.7,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,32,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.04,3.43
0.3,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,5.79
0.7,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,8.64
0.85,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,86.11,0.00
0.3,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,10,0.01,64,10000,98.15,0.86,83.33,0.00
0.5,False,32,True,2,False,visap-half,10,0.01,64,10000,94.44,1.93,84.72,1.93
0.7,False,32,True,2,False,visap-half,10,0.01,64,10000,98.15,3.43,84.44,1.23
0.85,False,32,True,2,False,visap-half,10,0.01,64,10000,91.67,23.15,83.33,0.00
0.3,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,86.11,1.93
0.7,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.44,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,93.06,7.72
0.7,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,88.89,4.94
0.85,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,87.96,6.00
0.3,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.50,0.00
0.7,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.78,4.94
0.85,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,86.11,2.57
0.3,False,32,True,2,False,visap-half,10,0.01,128,10000,94.44,7.72,83.33,0.00
0.5,False,32,True,2,False,visap-half,10,0.01,128,10000,91.67,5.79,83.33,0.00
0.7,False,32,True,2,False,visap-half,10,0.01,128,10000,81.48,3.43,74.44,1.23
0.85,False,32,True,2,False,visap-half,10,0.01,128,10000,38.89,30.86,30.56,54.01
0.3,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,94.44,7.72
0.5,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,91.67,0.00
0.7,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.56,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,93.06,1.93
0.7,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,87.96,0.86
0.3,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.78,4.94
0.85,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.96,0.86
0.3,False,32,True,2,False,visap-half,10,0.01,256,10000,75.93,21.43,66.67,0.00
0.5,False,32,True,2,False,visap-half,10,0.01,256,10000,33.33,0.00,25.00,17.36
0.7,False,32,True,2,False,visap-half,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.85,False,32,True,2,False,visap-half,10,0.01,256,10000,0.00,0.00,0.00,0.00
0.3,False,32,True,2,False,visap-half,50,0.01,256,10000,99.07,0.86,88.89,30.86
0.5,False,32,True,2,False,visap-half,50,0.01,256,10000,97.22,1.93,87.50,0.00
0.7,False,32,True,2,False,visap-half,50,0.01,256,10000,98.15,3.43,87.78,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,85.19,3.43
0.3,False,32,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.50,5.79
0.7,False,32,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.78,1.23
0.85,False,32,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.04,0.86
0.3,False,32,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,94.44,7.72
0.5,False,32,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,90.28,1.93
0.7,False,32,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,86.67,0.00
0.85,False,32,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,84.26,0.86
0.3,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.50,5.79
0.7,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,86.67,0.00
0.85,False,64,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.04,3.43
0.3,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,5.79
0.7,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,87.78,4.94
0.85,False,64,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,84.26,0.86
0.3,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,64,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,84.26,0.86
0.3,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,64,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,64,True,2,False,visap-half,10,0.01,64,10000,98.15,0.86,86.11,7.72
0.5,False,64,True,2,False,visap-half,10,0.01,64,10000,98.61,1.93,90.28,1.93
0.7,False,64,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,85.56,1.23
0.85,False,64,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,64,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,88.89,7.72
0.5,False,64,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,86.11,1.93
0.7,False,64,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.44,1.23
0.85,False,64,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,64,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,64,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,93.06,7.72
0.7,False,64,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,88.89,4.94
0.85,False,64,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,87.04,6.00
0.3,False,64,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,91.67,0.00
0.5,False,64,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,88.89,1.93
0.7,False,64,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,88.89,8.64
0.85,False,64,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,86.11,2.57
0.3,False,64,True,2,False,visap-half,10,0.01,128,10000,97.22,2.57,86.11,7.72
0.5,False,64,True,2,False,visap-half,10,0.01,128,10000,95.83,5.79,83.33,0.00
0.7,False,64,True,2,False,visap-half,10,0.01,128,10000,88.89,10.29,83.33,0.00
0.85,False,64,True,2,False,visap-half,10,0.01,128,10000,88.89,30.86,75.00,2.57
0.3,False,64,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,94.44,7.72
0.5,False,64,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,91.67,0.00
0.7,False,64,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.56,1.23
0.85,False,64,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.19,0.86
0.3,False,64,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,88.89,7.72
0.5,False,64,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,93.06,1.93
0.7,False,64,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,83.33,0.00
0.85,False,64,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,86.11,2.57
0.3,False,64,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,23.15
0.5,False,64,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,64,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.78,4.94
0.85,False,64,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.04,0.86
0.3,False,64,True,2,False,visap-half,10,0.01,256,10000,83.33,0.00,83.33,0.00
0.5,False,64,True,2,False,visap-half,10,0.01,256,10000,73.61,13.50,65.28,13.50
0.7,False,64,True,2,False,visap-half,10,0.01,256,10000,33.33,0.00,23.33,11.11
0.85,False,64,True,2,False,visap-half,10,0.01,256,10000,11.11,30.86,9.26,21.43
0.3,False,64,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,88.89,30.86
0.5,False,64,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,88.89,1.93
0.7,False,64,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,87.78,1.23
0.85,False,64,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,87.04,3.43
0.3,False,64,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,91.67,23.15
0.5,False,64,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.50,5.79
0.7,False,64,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.78,1.23
0.85,False,64,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.04,0.86
0.3,False,64,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,94.44,7.72
0.5,False,64,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,90.28,1.93
0.7,False,64,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,86.67,0.00
0.85,False,64,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,84.26,0.86
0.3,False,128,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,88.89,7.72
0.5,False,128,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.50,5.79
0.7,False,128,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,86.67,0.00
0.85,False,128,True,2,False,visap-half,10,0.01,32,10000,100.00,0.00,87.04,3.43
0.3,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,5.79
0.7,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,83.33,0.00
0.3,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,84.26,0.86
0.3,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,84.26,0.86
0.3,False,128,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,128,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,91.67,0.00
0.7,False,128,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,86.67,0.00
0.85,False,128,True,2,False,visap-half,10,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,128,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,88.89,7.72
0.5,False,128,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,86.11,1.93
0.7,False,128,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.44,1.23
0.85,False,128,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,128,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,128,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,93.06,7.72
0.7,False,128,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,88.89,4.94
0.85,False,128,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,2.57
0.3,False,128,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,91.67,0.00
0.5,False,128,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,88.89,1.93
0.7,False,128,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.78,4.94
0.85,False,128,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,85.19,3.43
0.3,False,128,True,2,False,visap-half,10,0.01,128,10000,98.15,0.86,88.89,7.72
0.5,False,128,True,2,False,visap-half,10,0.01,128,10000,97.22,1.93,84.72,1.93
0.7,False,128,True,2,False,visap-half,10,0.01,128,10000,94.44,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,10,0.01,128,10000,91.67,23.15,83.33,0.00
0.3,False,128,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,94.44,7.72
0.5,False,128,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,91.67,0.00
0.7,False,128,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,86.67,3.70
0.85,False,128,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.19,0.86
0.3,False,128,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,88.89,7.72
0.5,False,128,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,93.06,1.93
0.7,False,128,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,83.33,0.00
0.85,False,128,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,86.11,2.57
0.3,False,128,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,23.15
0.5,False,128,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,128,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.78,4.94
0.85,False,128,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.04,0.86
0.3,False,128,True,2,False,visap-half,10,0.01,256,10000,88.89,2.57,83.33,0.00
0.5,False,128,True,2,False,visap-half,10,0.01,256,10000,86.11,7.72,83.33,0.00
0.7,False,128,True,2,False,visap-half,10,0.01,256,10000,83.33,0.00,74.44,8.64
0.85,False,128,True,2,False,visap-half,10,0.01,256,10000,33.33,23.15,21.30,11.15
0.3,False,128,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,88.89,30.86
0.5,False,128,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,88.89,1.93
0.7,False,128,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,90.00,3.70
0.85,False,128,True,2,False,visap-half,50,0.01,256,10000,100.00,0.00,87.04,3.43
0.3,False,128,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,91.67,23.15
0.5,False,128,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.50,5.79
0.7,False,128,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.78,1.23
0.85,False,128,True,2,False,visap-half,100,0.01,256,10000,100.00,0.00,87.04,0.86
0.3,False,128,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,94.44,7.72
0.5,False,128,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,90.28,1.93
0.7,False,128,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,86.67,0.00
0.85,False,128,True,2,False,visap-half,200,0.01,256,10000,100.00,0.00,84.26,0.86
